 S1(Amp),S2(Amp),S1(Volt),S2(Volt),Light(kiloLux),Temp(degC),Weather,State
0,5.2,0,101,94,26,Sunny,Open
0,5.4,0,101,91,26,Sunny,Open
0,5.9,0,109,96,21,Sunny,Open
0,5.3,0,109,95,24,Sunny,Open
0,5.1,0,101,94,29,Sunny,Open
0,5.2,0,110,91,21,Sunny,Open
0,5.5,0,104,93,29,Sunny,Open
0,5.3,0,100,93,22,Sunny,Open
0,5.7,0,104,92,21,Sunny,Open
0,5.2,0,101,97,23,Sunny,Open
0,5.2,0,109,97,28,Sunny,Open
0,5.3,0,110,95,24,Sunny,Open
0,5.7,0,109,98,22,Sunny,Open
0,5.7,0,102,94,27,Sunny,Open
0,5.8,0,110,97,24,Sunny,Open
0,5.7,0,107,95,27,Sunny,Open
0,5.5,0,109,91,29,Sunny,Open
0,5.1,0,106,96,24,Sunny,Open
0,5.9,0,104,97,25,Sunny,Open
0,5.6,0,103,93,21,Sunny,Open
0,5.7,0,104,97,24,Sunny,Open
0,5.8,0,101,95,26,Sunny,Open
0,5.2,0,107,99,28,Sunny,Open
0,5.3,0,104,97,29,Sunny,Open
0,5.1,0,106,95,25,Sunny,Open
0,5.8,0,108,97,23,Sunny,Open
0,5.2,0,109,92,21,Sunny,Open
0,5.8,0,110,92,26,Sunny,Open
0,5.8,0,107,96,22,Sunny,Open
0,5.5,0,108,94,28,Sunny,Open
0,5.6,0,102,94,20,Sunny,Open
0,5.5,0,107,98,23,Sunny,Open
0,5.2,0,101,99,29,Sunny,Open
0,5.8,0,110,93,23,Sunny,Open
0,5.4,0,104,93,26,Sunny,Open
0,5.5,0,104,91,28,Sunny,Open
0,5.5,0,101,99,27,Sunny,Open
0,5.5,0,103,91,28,Sunny,Open
0,5.8,0,101,94,28,Sunny,Open
0,5.7,0,100,96,27,Sunny,Open
0,5.2,0,108,95,28,Sunny,Open
0,5.5,0,100,98,20,Sunny,Open
0,5.2,0,103,99,23,Sunny,Open
0,5.3,0,106,96,21,Sunny,Open
0,5.8,0,103,96,30,Sunny,Open
0,5.8,0,108,95,24,Sunny,Open
0,5.5,0,102,94,27,Sunny,Open
0,5.1,0,106,91,23,Sunny,Open
0,5.5,0,109,92,24,Sunny,Open
0,5.8,0,107,94,25,Sunny,Open
0,5.8,0,101,93,27,Sunny,Open
0,5.7,0,109,94,25,Sunny,Open
0,5.2,0,107,95,26,Sunny,Open
0,5.4,0,106,94,21,Sunny,Open
0,5.6,0,103,96,28,Sunny,Open
0,5.9,0,109,97,29,Sunny,Open
0,5.2,0,110,95,29,Sunny,Open
0,5.3,0,105,95,29,Sunny,Open
0,5.5,0,110,98,21,Sunny,Open
0,5.7,0,110,92,28,Sunny,Open
0,5.8,0,107,97,25,Sunny,Open
0,5.7,0,106,92,21,Sunny,Open
0,5.2,0,109,91,24,Sunny,Open
0,5.2,0,104,94,22,Sunny,Open
0,5.7,0,101,96,21,Sunny,Open
0,5.6,0,101,93,20,Sunny,Open
0,5.4,0,106,91,26,Sunny,Open
0,5.7,0,101,93,26,Sunny,Open
0,5.6,0,102,98,25,Sunny,Open
0,5.3,0,102,95,29,Sunny,Open
0,5.2,0,106,96,21,Sunny,Open
0,5.5,0,107,95,26,Sunny,Open
0,5.2,0,106,98,25,Sunny,Open
0,5.7,0,107,98,20,Sunny,Open
0,5.2,0,110,91,21,Sunny,Open
0,5.9,0,106,95,22,Sunny,Open
0,5.3,0,109,98,29,Sunny,Open
0,5.7,0,106,97,21,Sunny,Open
0,5.8,0,103,95,27,Sunny,Open
0,5.5,0,103,92,20,Sunny,Open
0,5.2,0,107,97,25,Sunny,Open
0,5.7,0,106,94,26,Sunny,Open
0,5.3,0,103,98,22,Sunny,Open
0,5.3,0,105,97,30,Sunny,Open
0,5.8,0,105,99,26,Sunny,Open
0,5.3,0,110,92,24,Sunny,Open
0,5.2,0,105,97,26,Sunny,Open
0,5.2,0,105,96,21,Sunny,Open
0,5.5,0,106,98,28,Sunny,Open
0,5.8,0,103,92,23,Sunny,Open
0,5.8,0,106,95,22,Sunny,Open
0,5.7,0,102,94,26,Sunny,Open
0,5.2,0,109,98,26,Sunny,Open
0,5.3,0,109,97,21,Sunny,Open
0,5.4,0,103,95,25,Sunny,Open
0,5.4,0,106,94,29,Sunny,Open
0,5.3,0,104,97,29,Sunny,Open
0,5.9,0,103,93,29,Sunny,Open
0,5.5,0,107,94,25,Sunny,Open
0,5.6,0,107,91,21,Sunny,Open
0,5.3,0,105,93,21,Sunny,Open
0,5.8,0,103,98,27,Sunny,Open
0,5.1,0,108,91,26,Sunny,Open
0,5.2,0,108,98,23,Sunny,Open
0,5.3,0,109,93,27,Sunny,Open
0,5.7,0,104,92,29,Sunny,Open
0,5.9,0,100,95,24,Sunny,Open
0,5.7,0,107,94,23,Sunny,Open
0,5.6,0,108,97,25,Sunny,Open
0,5.6,0,104,96,28,Sunny,Open
0,5.5,0,110,93,21,Sunny,Open
0,5.6,0,108,94,28,Sunny,Open
0,5.7,0,100,98,29,Sunny,Open
0,5.8,0,110,92,25,Sunny,Open
0,5.1,0,106,98,23,Sunny,Open
0,5.6,0,101,94,21,Sunny,Open
0,5.7,0,107,92,25,Sunny,Open
0,5.3,0,104,95,29,Sunny,Open
0,5.6,0,101,94,26,Sunny,Open
0,5.6,0,106,94,28,Sunny,Open
0,5.4,0,110,94,29,Sunny,Open
0,5.1,0,106,97,30,Sunny,Open
0,5.5,0,108,92,22,Sunny,Open
0,5.5,0,108,95,28,Sunny,Open
0,5.8,0,102,97,28,Sunny,Open
0,5.9,0,102,96,21,Sunny,Open
0,5.7,0,108,92,22,Sunny,Open
0,5.6,0,102,97,22,Sunny,Open
0,5.3,0,100,93,26,Sunny,Open
0,5.8,0,105,96,22,Sunny,Open
0,5.2,0,106,93,27,Sunny,Open
0,5.2,0,105,95,29,Sunny,Open
0,5.6,0,104,96,29,Sunny,Open
0,5.4,0,106,94,22,Sunny,Open
0,5.4,0,104,97,28,Sunny,Open
0,5.4,0,104,98,27,Sunny,Open
0,5.8,0,107,98,27,Sunny,Open
0,5.7,0,108,96,21,Sunny,Open
0,5.1,0,108,92,25,Sunny,Open
0,5.1,0,100,99,25,Sunny,Open
0,5.2,0,107,98,21,Sunny,Open
0,5.4,0,107,99,20,Sunny,Open
0,5.7,0,102,95,24,Sunny,Open
0,5.4,0,100,98,21,Sunny,Open
0,5.8,0,106,95,24,Sunny,Open
0,5.4,0,108,98,27,Sunny,Open
0,5.4,0,102,97,23,Sunny,Open
0,5.4,0,110,96,23,Sunny,Open
0,5.9,0,105,96,21,Sunny,Open
0,5.8,0,101,95,29,Sunny,Open
0,5.5,0,104,97,23,Sunny,Open
0,5.2,0,103,92,24,Sunny,Open
0,5.1,0,104,97,27,Sunny,Open
0,5.9,0,107,95,27,Sunny,Open
0,5.2,0,102,95,25,Sunny,Open
0,5.6,0,104,97,21,Sunny,Open
0,5.2,0,101,99,25,Sunny,Open
0,5.8,0,107,94,22,Sunny,Open
0,5.7,0,105,93,22,Sunny,Open
0,5.5,0,101,92,21,Sunny,Open
0,5.7,0,110,92,24,Sunny,Open
0,5.6,0,106,98,27,Sunny,Open
0,5.8,0,107,94,22,Sunny,Open
0,5.3,0,106,92,21,Sunny,Open
0,5.6,0,105,96,30,Sunny,Open
0,5.3,0,108,92,27,Sunny,Open
0,5.2,0,109,97,21,Sunny,Open
0,5.8,0,108,92,22,Sunny,Open
0,5.6,0,108,98,24,Sunny,Open
0,5.1,0,104,92,27,Sunny,Open
0,5.5,0,106,95,22,Sunny,Open
0,5.3,0,104,98,22,Sunny,Open
0,5.5,0,107,97,30,Sunny,Open
0,5.1,0,104,91,24,Sunny,Open
0,5.3,0,108,92,26,Sunny,Open
0,5.3,0,106,99,21,Sunny,Open
0,5.7,0,107,94,30,Sunny,Open
0,5.2,0,106,94,28,Sunny,Open
0,5.7,0,107,95,26,Sunny,Open
0,5.8,0,104,92,29,Sunny,Open
0,5.9,0,104,98,29,Sunny,Open
0,5.2,0,105,92,25,Sunny,Open
0,5.6,0,106,99,27,Sunny,Open
0,5.4,0,101,93,27,Sunny,Open
0,5.3,0,100,97,22,Sunny,Open
0,5.5,0,107,91,27,Sunny,Open
0,5.7,0,107,95,29,Sunny,Open
0,5.9,0,102,97,24,Sunny,Open
0,5.3,0,103,95,25,Sunny,Open
0,5.8,0,109,96,25,Sunny,Open
0,5.5,0,102,97,28,Sunny,Open
0,5.6,0,102,93,20,Sunny,Open
0,5.4,0,103,98,27,Sunny,Open
6.4,0,106,0,104,34,Cloudy,Open
7.5,0,109,0,106,31,Cloudy,Open
6.2,0,105,0,104,35,Cloudy,Open
7.5,0,108,0,110,31,Cloudy,Open
6.5,0,107,0,108,35,Cloudy,Open
6.2,0,106,0,105,34,Cloudy,Open
7.6,0,105,0,107,33,Cloudy,Open
6.9,0,106,0,106,32,Cloudy,Open
6.2,0,109,0,106,34,Cloudy,Open
6.5,0,108,0,104,39,Cloudy,Open
6.3,0,108,0,107,37,Cloudy,Open
6.8,0,110,0,107,31,Cloudy,Open
6.5,0,106,0,103,34,Cloudy,Open
7.4,0,110,0,105,38,Cloudy,Open
7.1,0,108,0,108,37,Cloudy,Open
7.3,0,106,0,107,36,Cloudy,Open
6.2,0,107,0,106,39,Cloudy,Open
6.8,0,106,0,104,35,Cloudy,Open
6.6,0,109,0,107,37,Cloudy,Open
6.1,0,106,0,102,39,Cloudy,Open
7.1,0,107,0,107,32,Cloudy,Open
6.2,0,106,0,104,31,Cloudy,Open
7.3,0,108,0,108,30,Cloudy,Open
6.1,0,107,0,105,39,Cloudy,Open
6.8,0,108,0,103,39,Cloudy,Open
7.1,0,110,0,105,37,Cloudy,Open
6.8,0,107,0,108,39,Cloudy,Open
7.2,0,107,0,103,39,Cloudy,Open
7.3,0,106,0,105,39,Cloudy,Open
6.8,0,110,0,107,39,Cloudy,Open
6.4,0,107,0,107,33,Cloudy,Open
6.1,0,107,0,106,36,Cloudy,Open
6.1,0,108,0,106,33,Cloudy,Open
7.6,0,109,0,106,33,Cloudy,Open
6.6,0,109,0,110,40,Cloudy,Open
6.8,0,109,0,105,39,Cloudy,Open
6.4,0,108,0,103,39,Cloudy,Open
6.2,0,105,0,107,31,Cloudy,Open
7.2,0,108,0,103,40,Cloudy,Open
6.8,0,109,0,105,37,Cloudy,Open
6,0,109,0,108,39,Cloudy,Open
7.6,0,107,0,106,36,Cloudy,Open
7,0,105,0,108,35,Cloudy,Open
6.7,0,109,0,103,38,Cloudy,Open
7.4,0,109,0,104,36,Cloudy,Open
6.6,0,106,0,104,34,Cloudy,Open
7.3,0,108,0,107,33,Cloudy,Open
6.7,0,109,0,103,38,Cloudy,Open
7,0,108,0,108,31,Cloudy,Open
6.1,0,110,0,103,32,Cloudy,Open
7.1,0,108,0,108,39,Cloudy,Open
7.2,0,109,0,107,34,Cloudy,Open
7.5,0,106,0,104,32,Cloudy,Open
6.5,0,108,0,109,33,Cloudy,Open
6.5,0,110,0,105,32,Cloudy,Open
6.2,0,108,0,108,36,Cloudy,Open
7.3,0,108,0,103,34,Cloudy,Open
7.1,0,109,0,103,31,Cloudy,Open
6.3,0,106,0,102,38,Cloudy,Open
6.7,0,108,0,107,33,Cloudy,Open
6.1,0,108,0,108,39,Cloudy,Open
6.7,0,106,0,107,33,Cloudy,Open
6.9,0,110,0,103,36,Cloudy,Open
6.4,0,110,0,107,36,Cloudy,Open
7.5,0,108,0,106,39,Cloudy,Open
6.7,0,109,0,104,36,Cloudy,Open
6.8,0,109,0,109,32,Cloudy,Open
7.3,0,108,0,109,38,Cloudy,Open
6.6,0,108,0,107,40,Cloudy,Open
6.6,0,106,0,108,35,Cloudy,Open
6.2,0,109,0,106,33,Cloudy,Open
7.1,0,109,0,110,30,Cloudy,Open
6.6,0,109,0,109,39,Cloudy,Open
7.5,0,108,0,103,34,Cloudy,Open
7.4,0,109,0,103,31,Cloudy,Open
6.4,0,108,0,103,37,Cloudy,Open
6.7,0,108,0,109,33,Cloudy,Open
6.9,0,108,0,106,35,Cloudy,Open
7.3,0,105,0,103,38,Cloudy,Open
7.4,0,107,0,107,39,Cloudy,Open
6.4,0,109,0,105,31,Cloudy,Open
7.2,0,109,0,107,39,Cloudy,Open
6.7,0,106,0,110,36,Cloudy,Open
6.1,0,110,0,103,33,Cloudy,Open
7.1,0,107,0,105,32,Cloudy,Open
6.5,0,107,0,107,31,Cloudy,Open
6.4,0,106,0,108,33,Cloudy,Open
6.1,0,109,0,103,31,Cloudy,Open
7.2,0,106,0,105,32,Cloudy,Open
6.5,0,106,0,105,34,Cloudy,Open
6.8,0,110,0,105,34,Cloudy,Open
6.7,0,109,0,107,33,Cloudy,Open
6.8,0,106,0,102,36,Cloudy,Open
6.7,0,109,0,108,39,Cloudy,Open
7.1,0,109,0,103,32,Cloudy,Open
6.5,0,107,0,104,35,Cloudy,Open
6.6,0,105,0,106,37,Cloudy,Open
7,0,109,0,103,36,Cloudy,Open
6.3,0,109,0,107,36,Cloudy,Open
6.8,0,106,0,110,30,Cloudy,Open
6.4,0,109,0,107,37,Cloudy,Open
7.1,0,106,0,109,36,Cloudy,Open
7.3,0,109,0,109,35,Cloudy,Open
6,0,107,0,103,31,Cloudy,Open
6.5,0,107,0,104,33,Cloudy,Open
6.3,0,106,0,105,35,Cloudy,Open
7.3,0,109,0,102,37,Cloudy,Open
6.9,0,107,0,106,33,Cloudy,Open
7,0,105,0,104,39,Cloudy,Open
6.7,0,110,0,108,36,Cloudy,Open
6.3,0,108,0,109,36,Cloudy,Open
6.1,0,109,0,108,34,Cloudy,Open
6.9,0,109,0,103,34,Cloudy,Open
6.7,0,107,0,109,35,Cloudy,Open
6.1,0,109,0,109,32,Cloudy,Open
6.4,0,106,0,107,34,Cloudy,Open
7.4,0,109,0,107,34,Cloudy,Open
7.1,0,108,0,105,35,Cloudy,Open
7.5,0,107,0,103,33,Cloudy,Open
6.2,0,108,0,106,36,Cloudy,Open
6.8,0,107,0,106,35,Cloudy,Open
6.9,0,108,0,104,32,Cloudy,Open
7.2,0,108,0,106,33,Cloudy,Open
7,0,108,0,105,34,Cloudy,Open
7.4,0,110,0,105,32,Cloudy,Open
6.8,0,107,0,104,32,Cloudy,Open
7.3,0,109,0,107,33,Cloudy,Open
6.9,0,108,0,106,40,Cloudy,Open
6.6,0,110,0,106,34,Cloudy,Open
6.5,0,108,0,108,38,Cloudy,Open
7.4,0,105,0,103,31,Cloudy,Open
7.3,0,108,0,105,31,Cloudy,Open
6.7,0,109,0,109,33,Cloudy,Open
7,0,106,0,106,34,Cloudy,Open
6,0,110,0,104,37,Cloudy,Open
6.7,0,105,0,107,34,Cloudy,Open
6.1,0,110,0,104,32,Cloudy,Open
7.2,0,108,0,107,38,Cloudy,Open
7.1,0,110,0,110,38,Cloudy,Open
6.6,0,109,0,106,30,Cloudy,Open
6.1,0,109,0,106,38,Cloudy,Open
6.9,0,109,0,107,34,Cloudy,Open
7.1,0,108,0,106,35,Cloudy,Open
6.4,0,110,0,109,32,Cloudy,Open
7,0,109,0,106,36,Cloudy,Open
7.1,0,107,0,105,35,Cloudy,Open
7.5,0,105,0,108,37,Cloudy,Open
7.1,0,108,0,105,39,Cloudy,Open
6.2,0,107,0,109,30,Cloudy,Open
6.7,0,106,0,104,39,Cloudy,Open
7.2,0,107,0,107,36,Cloudy,Open
6.7,0,107,0,107,31,Cloudy,Open
7.6,0,106,0,107,38,Cloudy,Open
6.9,0,106,0,103,37,Cloudy,Open
7.2,0,107,0,105,36,Cloudy,Open
7.4,0,107,0,102,35,Cloudy,Open
7,0,107,0,107,39,Cloudy,Open
6.6,0,109,0,109,37,Cloudy,Open
7.4,0,105,0,109,35,Cloudy,Open
6.1,0,106,0,103,35,Cloudy,Open
7.6,0,109,0,108,38,Cloudy,Open
6.5,0,108,0,103,34,Cloudy,Open
6.2,0,108,0,107,38,Cloudy,Open
6.1,0,108,0,108,37,Cloudy,Open
7.1,0,110,0,105,35,Cloudy,Open
6.4,0,106,0,108,36,Cloudy,Open
6.6,0,108,0,107,35,Cloudy,Open
7,0,106,0,107,37,Cloudy,Open
6.2,0,107,0,110,35,Cloudy,Open
7.5,0,108,0,107,39,Cloudy,Open
6.6,0,110,0,110,39,Cloudy,Open
6.8,0,107,0,110,39,Cloudy,Open
7.5,0,109,0,104,31,Cloudy,Open
6.4,0,107,0,107,37,Cloudy,Open
7.5,0,107,0,110,34,Cloudy,Open
6.6,0,109,0,110,33,Cloudy,Open
6.4,0,109,0,106,38,Cloudy,Open
6.2,0,110,0,103,31,Cloudy,Open
6.3,0,110,0,105,31,Cloudy,Open
7,0,109,0,106,37,Cloudy,Open
6.9,0,108,0,102,37,Cloudy,Open
7.4,0,110,0,104,30,Cloudy,Open
7.1,0,109,0,104,39,Cloudy,Open
6.5,0,108,0,107,37,Cloudy,Open
7.1,0,110,0,108,33,Cloudy,Open
7,0,108,0,106,33,Cloudy,Open
6.3,0,109,0,103,36,Cloudy,Open
6.9,0,107,0,102,35,Cloudy,Open
6.7,0,107,0,106,35,Cloudy,Open
7,0,106,0,105,31,Cloudy,Open
6.9,0,110,0,108,36,Cloudy,Open
6.3,0,107,0,109,32,Cloudy,Open
6.1,0,107,0,109,31,Cloudy,Open
6.3,0,106,0,104,32,Cloudy,Open
6.5,0,107,0,104,39,Cloudy,Open
6.5,0,105,0,103,40,Cloudy,Open
6.1,0,108,0,102,35,Cloudy,Open
6.2,0,106,0,107,36,Cloudy,Open
7.3,0,107,0,103,37,Cloudy,Open
7.2,0,106,0,110,35,Cloudy,Open
7.3,0,110,0,110,33,Cloudy,Open
7,0,109,0,106,36,Cloudy,Open
7,0,108,0,104,34,Cloudy,Open
6.5,0,107,0,105,31,Cloudy,Open
7.5,0,105,0,102,33,Cloudy,Open
7,0,108,0,104,31,Cloudy,Open
6.1,0,107,0,106,39,Cloudy,Open
7.4,0,107,0,108,37,Cloudy,Open
6.5,0,110,0,106,34,Cloudy,Open
6.8,0,107,0,105,36,Cloudy,Open
7.1,0,109,0,106,31,Cloudy,Open
6.3,0,106,0,106,35,Cloudy,Open
7.3,0,108,0,102,32,Cloudy,Open
6.9,0,110,0,105,31,Cloudy,Open
7.4,0,107,0,104,39,Cloudy,Open
6.6,0,107,0,108,33,Cloudy,Open
6.3,0,108,0,108,37,Cloudy,Open
7.6,0,110,0,109,37,Cloudy,Open
6.3,0,107,0,105,37,Cloudy,Open
6.4,0,109,0,107,36,Cloudy,Open
6,0,109,0,107,31,Cloudy,Open
7.5,0,107,0,108,39,Cloudy,Open
6.7,0,108,0,109,35,Cloudy,Open
7.6,0,106,0,107,39,Cloudy,Open
6.3,0,107,0,110,35,Cloudy,Open
6.2,0,109,0,108,37,Cloudy,Open
6.2,0,107,0,109,35,Cloudy,Open
6.5,0,107,0,109,31,Cloudy,Open
6.9,0,106,0,108,32,Cloudy,Open
6.7,0,108,0,107,40,Cloudy,Open
6.8,0,109,0,105,31,Cloudy,Open
6.7,0,108,0,109,38,Cloudy,Open
7.5,0,108,0,106,33,Cloudy,Open
6.3,0,107,0,109,32,Cloudy,Open
7.6,0,109,0,109,35,Cloudy,Open
7.1,0,110,0,108,33,Cloudy,Open
6.7,0,106,0,103,32,Cloudy,Open
6.1,0,107,0,104,32,Cloudy,Open
7.5,0,109,0,104,34,Cloudy,Open
7.3,0,106,0,104,32,Cloudy,Open
6.3,0,107,0,103,36,Cloudy,Open
6.8,0,109,0,109,34,Cloudy,Open
6.9,0,106,0,107,36,Cloudy,Open
6.5,0,108,0,103,35,Cloudy,Open
6.8,0,106,0,108,31,Cloudy,Open
6,0,106,0,107,34,Cloudy,Open
7.3,0,105,0,103,37,Cloudy,Open
6.8,0,108,0,109,37,Cloudy,Open
7.5,0,108,0,110,33,Cloudy,Open
6.5,0,106,0,103,31,Cloudy,Open
7.1,0,107,0,106,30,Cloudy,Open
6.4,3.6,107,81,107,30,Sunny,Line-line
6.5,3.8,108,81,105,35,Sunny,Line-line
6,3.8,106,81,108,34,Sunny,Line-line
6.5,4,109,75,108,36,Sunny,Line-line
6.7,3.4,108,80,108,39,Sunny,Line-line
6.9,2.2,106,81,104,38,Sunny,Line-line
7.2,3.2,108,80,107,32,Sunny,Line-line
6.9,2.9,106,82,108,37,Sunny,Line-line
7.4,3.1,110,83,107,32,Sunny,Line-line
6.5,3.3,105,78,105,38,Sunny,Line-line
6.5,3.2,109,77,105,34,Sunny,Line-line
6.8,3.1,106,79,110,37,Sunny,Line-line
6.6,3.1,109,79,110,39,Sunny,Line-line
6.8,3.3,107,75,103,35,Sunny,Line-line
6.1,3.8,107,76,104,32,Sunny,Line-line
7.4,3.8,106,82,108,38,Sunny,Line-line
7.2,3.7,108,76,110,40,Sunny,Line-line
7.5,2.6,107,81,105,34,Sunny,Line-line
6.9,3.2,106,75,107,33,Sunny,Line-line
6.3,2.2,106,84,107,40,Sunny,Line-line
7.2,3,109,81,108,30,Sunny,Line-line
6.8,2.9,110,77,106,31,Sunny,Line-line
6.4,4,108,81,107,39,Sunny,Line-line
6.9,3.4,109,79,105,40,Sunny,Line-line
7.4,2.4,108,78,110,34,Sunny,Line-line
7.3,3.4,109,80,108,32,Sunny,Line-line
7.1,3.3,109,82,109,32,Sunny,Line-line
7.2,2.9,109,83,108,33,Sunny,Line-line
6.6,3,109,79,108,39,Sunny,Line-line
7,2.4,107,76,107,37,Sunny,Line-line
7.2,2.9,109,79,108,38,Sunny,Line-line
7.6,3.5,109,84,104,31,Sunny,Line-line
6.2,3.7,105,76,110,30,Sunny,Line-line
7,2.6,107,84,108,38,Sunny,Line-line
6.4,3.6,108,81,109,33,Sunny,Line-line
7.5,2.6,109,81,105,32,Sunny,Line-line
7,3.7,107,84,102,36,Sunny,Line-line
6.1,3.1,106,76,102,35,Sunny,Line-line
6.3,3.7,107,77,103,32,Sunny,Line-line
7.1,2.7,109,84,106,37,Sunny,Line-line
6.7,2.5,109,79,105,39,Sunny,Line-line
6.8,3.3,106,82,103,37,Sunny,Line-line
6.7,3.6,106,81,105,35,Sunny,Line-line
7.3,2.9,106,84,106,30,Sunny,Line-line
7,3.4,108,78,110,40,Sunny,Line-line
7.3,3.9,107,81,109,37,Sunny,Line-line
6.4,2.3,109,80,110,35,Sunny,Line-line
6.4,2.2,107,76,105,38,Sunny,Line-line
6.2,3.4,109,84,102,31,Sunny,Line-line
6.8,2.9,107,78,108,39,Sunny,Line-line
6.8,3.4,108,81,108,39,Sunny,Line-line
6.5,3.5,109,82,107,33,Sunny,Line-line
6.5,2.2,108,76,107,36,Sunny,Line-line
6.1,3,109,82,104,37,Sunny,Line-line
6.3,3.6,110,82,106,31,Sunny,Line-line
7.2,3.9,107,81,103,31,Sunny,Line-line
6.5,2.4,106,83,109,32,Sunny,Line-line
6.4,2.6,108,80,106,33,Sunny,Line-line
7.6,3.4,107,79,104,39,Sunny,Line-line
6.7,2.5,108,76,103,33,Sunny,Line-line
7.1,2.9,108,84,104,33,Sunny,Line-line
7.3,3.5,106,77,108,30,Sunny,Line-line
7.4,3.5,106,80,104,35,Sunny,Line-line
6.5,2.5,108,78,107,39,Sunny,Line-line
6.2,3.3,107,81,104,32,Sunny,Line-line
6.9,2.8,105,77,110,35,Sunny,Line-line
7.2,2.9,109,78,108,37,Sunny,Line-line
7.1,3.9,107,80,110,33,Sunny,Line-line
7.4,3.3,109,77,110,35,Sunny,Line-line
7.4,2.1,109,84,102,35,Sunny,Line-line
6.4,2.1,105,84,106,32,Sunny,Line-line
6.9,4,108,78,107,37,Sunny,Line-line
7.4,3.1,105,78,104,39,Sunny,Line-line
6.1,3.6,106,75,108,39,Sunny,Line-line
6.5,3.3,109,78,105,32,Sunny,Line-line
6.7,2.3,109,82,107,35,Sunny,Line-line
7.1,3.6,108,77,102,39,Sunny,Line-line
7.5,3,109,78,103,31,Sunny,Line-line
7.3,2,106,78,108,37,Sunny,Line-line
6.9,3.6,105,81,103,33,Sunny,Line-line
6.8,2.5,109,76,106,31,Sunny,Line-line
6.4,2.4,106,77,109,39,Sunny,Line-line
6.7,3,110,78,108,35,Sunny,Line-line
7,4,108,77,109,35,Sunny,Line-line
6.8,2.1,107,81,109,36,Sunny,Line-line
6.8,2.1,109,82,104,34,Sunny,Line-line
6.6,3.1,107,84,102,32,Sunny,Line-line
6.7,2.1,109,84,105,34,Sunny,Line-line
6.7,3.2,105,78,107,36,Sunny,Line-line
6.1,3.9,108,82,107,33,Sunny,Line-line
6.6,2.7,105,77,110,34,Sunny,Line-line
6.4,3.8,108,81,105,39,Sunny,Line-line
7.6,2.2,109,85,102,39,Sunny,Line-line
6.6,2.9,108,80,106,31,Sunny,Line-line
7.2,3.7,108,81,106,38,Sunny,Line-line
7,2.1,108,76,109,31,Sunny,Line-line
7.4,2.8,110,83,104,39,Sunny,Line-line
6.5,3.1,109,78,104,32,Sunny,Line-line
7.4,2.3,110,76,108,37,Sunny,Line-line
7.1,3.5,109,81,104,30,Sunny,Line-line
6.2,2.1,108,80,107,32,Sunny,Line-line
6.6,2.7,110,75,105,33,Sunny,Line-line
7,2.8,106,80,108,32,Sunny,Line-line
6.9,2.9,108,77,105,31,Sunny,Line-line
6.8,3.9,109,83,106,36,Sunny,Line-line
6.2,2.1,107,76,105,35,Sunny,Line-line
6.3,3.4,108,84,106,33,Sunny,Line-line
7.6,3.2,109,78,102,36,Sunny,Line-line
7.2,2.4,110,77,108,37,Sunny,Line-line
7.4,3.4,109,82,103,32,Sunny,Line-line
6.8,2.3,109,83,108,32,Sunny,Line-line
6.7,3.1,106,80,109,38,Sunny,Line-line
6.6,4,105,79,104,38,Sunny,Line-line
6.6,2.6,106,80,108,32,Sunny,Line-line
6.6,2.8,105,80,105,32,Sunny,Line-line
7.4,2.1,108,80,106,33,Sunny,Line-line
7.4,3.8,107,80,106,39,Sunny,Line-line
7.1,2.5,108,84,105,34,Sunny,Line-line
6.1,2.6,106,82,108,33,Sunny,Line-line
6.6,2.4,110,79,109,36,Sunny,Line-line
7,2.4,108,79,102,35,Sunny,Line-line
7.6,3.3,105,84,108,38,Sunny,Line-line
6.6,2.3,109,76,108,38,Sunny,Line-line
7.2,2.3,107,76,110,30,Sunny,Line-line
7,2.9,108,82,105,32,Sunny,Line-line
6,2.9,107,77,108,38,Sunny,Line-line
7.3,3.4,109,82,105,34,Sunny,Line-line
7.1,3.5,107,81,103,31,Sunny,Line-line
7.4,3.1,108,77,107,31,Sunny,Line-line
7.6,3.5,107,77,106,40,Sunny,Line-line
7.4,3.8,105,79,106,35,Sunny,Line-line
7.6,2.9,108,78,107,33,Sunny,Line-line
6.9,3.6,108,83,105,38,Sunny,Line-line
6.5,3.6,110,85,104,30,Sunny,Line-line
7.5,2.9,110,85,108,38,Sunny,Line-line
7.3,2.8,107,78,103,36,Sunny,Line-line
7.4,2.8,109,83,106,36,Sunny,Line-line
7.2,2.9,106,75,110,30,Sunny,Line-line
6.9,2.3,108,79,104,38,Sunny,Line-line
7,3.2,108,76,102,39,Sunny,Line-line
7.4,3.8,107,77,108,31,Sunny,Line-line
7.6,3.4,107,82,104,35,Sunny,Line-line
7.1,3.4,108,76,105,33,Sunny,Line-line
6.7,3.9,109,77,109,36,Sunny,Line-line
7.1,2.2,106,84,106,37,Sunny,Line-line
6.4,3.9,106,75,105,30,Sunny,Line-line
7.2,2.1,107,76,108,36,Sunny,Line-line
6.8,3.1,108,82,107,34,Sunny,Line-line
6.4,2.7,109,80,102,34,Sunny,Line-line
7.3,3.8,109,82,106,39,Sunny,Line-line
6.5,2.7,108,82,106,33,Sunny,Line-line
6.6,3.1,107,84,104,37,Sunny,Line-line
7.1,3.4,106,77,104,39,Sunny,Line-line
6.6,3.6,107,81,109,32,Sunny,Line-line
